BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2023,6205.072057315498,3861.927946928522,-4.295977161152736e-6,0.0,0.0,5.219559439161036e-8,-2.3704140716830885e-10,0.0,0.0,-10067.0
t2024,6791.075750137069,4192.924250134967,-3.471748996099944e-7,0.0,0.0,7.48580703613602e-8,2.8040250723742536e-10,0.0,0.0,-10984.0
t2025,7270.377424037996,4028.622580185581,-4.275533528470114e-6,0.0,0.0,5.219559442925953e-8,-2.3704140637638025e-10,0.0,0.0,-11299.0
t2026,8672.815194827686,2757.1848098288183,-4.708332259386231e-6,0.0,0.0,5.2067777129379967e-8,-2.407597768684954e-10,0.0,0.0,-11430.0
t2027,8824.341252307546,2670.6587523493754,-4.708748950038384e-6,0.0,0.0,5.206777716012977e-8,-2.4075977598636747e-10,0.0,0.0,-11495.0
t2028,8896.43280963436,2546.5671950226993,-4.708886978469508e-6,0.0,0.0,5.2067777146153734e-8,-2.4075977638256057e-10,0.0,0.0,-11443.0
t2029,8482.3719180946,2841.6280859437943,-4.09035238981462e-6,0.0,0.0,5.2195594320572254e-8,-2.3704140953893926e-10,0.0,0.0,-11324.0
t2030,9567.584019426775,1688.4159836785166,-3.156987403206317e-6,0.0,0.0,5.194043900921849e-8,-2.444753177253181e-10,0.0,0.0,-11256.0
t2031,11407.731143831921,3.4125476262126016e-6,-317.7311472928373,0.0,0.0,4.870788909983665e-8,-3.426499674183619e-10,0.0,0.0,-11090.0
t2032,14653.949626569181,6.568530785890624e-6,-3647.9496331860646,0.0,0.0,4.869653032303947e-8,-3.430084872808157e-10,0.0,0.0,-11006.0
t2033,14980.910652449105,6.616715660134682e-6,-3891.910659114177,0.0,0.0,4.870031138919222e-8,-3.428891336749037e-10,0.0,0.0,-11089.0
t2034,16215.794493164725,6.665868874187911e-6,-4827.794499878956,0.0,0.0,4.87040976278671e-8,-3.4276962773663946e-10,0.0,0.0,-11388.0
t2035,14481.145875570666,6.71601791534808e-6,-2791.1458823350495,0.0,0.0,4.8707889047375575e-8,-3.42649969198881e-10,0.0,0.0,-11690.0
t2036,13518.810396406143,6.740557387932141e-6,-1101.8104031950695,0.0,0.0,4.871168565761871e-8,-3.425301578693115e-10,0.0,0.0,-12417.0
t2037,14441.64713711128,6.761450628172418e-6,-2123.647143921101,0.0,0.0,4.871548745424987e-8,-3.424101937021297e-10,0.0,0.0,-12318.0
t2038,14384.08589182009,6.7787389239124364e-6,-2804.085898647201,0.0,0.0,4.87192944502442e-8,-3.4229007636207767e-10,0.0,0.0,-11580.0
t2039,13906.884599614401,6.791801834925348e-6,-3399.884606454582,0.0,0.0,4.872310665317556e-8,-3.421698056778083e-10,0.0,0.0,-10507.0
t2040,13823.327953574504,6.799389799404869e-6,-4272.327960422278,0.0,0.0,4.87269240728395e-8,-3.4204938146353867e-10,0.0,0.0,-9551.0
