BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1320,32994.111278587894,19457.8887243462,-2.9874215976266725e-6,0.0,0.0,5.3532305918821584e-8,-1.9881318693686202e-10,0.0,0.0,-52452.0
t1321,31169.26846064525,18770.73154228826,-2.9868429646493002e-6,0.0,0.0,5.353230591417645e-8,-1.988131870406337e-10,0.0,0.0,-49940.0
t1322,30283.07682526817,17608.92317766437,-2.9858692414497315e-6,0.0,0.0,5.353230590997933e-8,-1.9881318713468216e-10,0.0,0.0,-47892.0
t1323,33380.06366221997,13617.936340711003,-2.9842957679271038e-6,0.0,0.0,5.353230590687415e-8,-1.98813187210922e-10,0.0,0.0,-46998.0
t1324,33440.01743027863,13141.982572649855,-2.981820412754613e-6,0.0,0.0,5.3532305902945507e-8,-1.9881318731618335e-10,0.0,0.0,-46582.0
t1325,32420.803371108126,14303.196631816561,-2.97800756534693e-6,0.0,0.0,5.3532305900131246e-8,-1.9881318739726085e-10,0.0,0.0,-46724.0
t1326,32289.654502610236,15463.34550030869,-2.972251549900848e-6,0.0,0.0,5.353230589700705e-8,-1.9881318749821685e-10,0.0,0.0,-47753.0
t1327,33711.68294023078,16064.317062679645,-2.963756064578333e-6,0.0,0.0,5.353230589478701e-8,-1.9881318758470148e-10,0.0,0.0,-49776.0
t1328,32201.59740256761,20796.40260033062,-2.951562279102213e-6,0.0,0.0,5.353230589191283e-8,-1.9881318770003553e-10,0.0,0.0,-52998.0
t1329,31228.559985861084,24091.440015528424,-1.442832836441753e-6,0.0,0.0,5.3532305889843435e-8,-1.9881318778061323e-10,0.0,0.0,-55320.0
t1330,54830.60858777108,1777.3914275159054,-1.5333981857180894e-5,0.0,0.0,4.736730012833953e-8,-3.856508424139742e-10,0.0,0.0,-56608.0
t1331,79877.9700661643,8.216380694124335e-6,-23440.97007442683,0.0,0.0,4.6560967758939226e-8,-4.1219822563516783e-10,0.0,0.0,-56437.0
t1332,97615.43129023298,2.2909778874104217e-5,-42297.4313131889,0.0,0.0,4.6561920359727115e-8,-4.121665526719975e-10,0.0,0.0,-55318.0
t1333,104892.42907834468,2.0493094892180812e-5,-51062.429098883884,0.0,0.0,4.6527701942370984e-8,-4.1330474224227946e-10,0.0,0.0,-53830.0
t1334,109659.36746988988,2.1263021034410182e-5,-57752.36749119904,0.0,0.0,4.6527701942816404e-8,-4.133047422092778e-10,0.0,0.0,-51907.0
t1335,109423.53756849014,2.1255111277078517e-5,-59187.53758979136,0.0,0.0,4.652770194200079e-8,-4.133047422194878e-10,0.0,0.0,-50236.0
t1336,110351.17719462213,2.124524382646568e-5,-61696.17721591347,0.0,0.0,4.652770194073505e-8,-4.1330474224451993e-10,0.0,0.0,-48655.0
t1337,109992.29039390513,2.1220450566690068e-5,-62077.290415171694,0.0,0.0,4.6527701938287624e-8,-4.1330474231757725e-10,0.0,0.0,-47915.0
t1338,101986.09391339659,2.1069887562041466e-5,-54194.09393451261,0.0,0.0,4.6527701930384416e-8,-4.133047425791478e-10,0.0,0.0,-47792.0
t1339,80278.94570754051,1.9506605369184373e-5,-31738.94572709322,0.0,0.0,4.6527701922485854e-8,-4.133047428505025e-10,0.0,0.0,-48540.0
t1340,51290.89872559064,262.1012906378587,-1.6276512287708712e-5,0.0,0.0,4.836939550519467e-8,-3.5337619444532456e-10,0.0,0.0,-51553.0
t1341,31448.66001849346,22368.339984424216,-2.971002262428267e-6,0.0,0.0,5.353230599984353e-8,-1.9881318466923866e-10,0.0,0.0,-53817.0
t1342,32412.832569322545,21493.167433595256,-2.971129578202239e-6,0.0,0.0,5.353230600088819e-8,-1.9881318464068867e-10,0.0,0.0,-53906.0
t1343,32515.878110280893,20848.121892636827,-2.971043629915928e-6,0.0,0.0,5.353230600100693e-8,-1.9881318463203587e-10,0.0,0.0,-53364.0
t1344,32351.005248877016,19202.9947540405,-2.9708412074533537e-6,0.0,0.0,5.353230599980144e-8,-1.9881318464744374e-10,0.0,0.0,-51554.0
