BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1125,39483.07380664295,19155.92619662989,-3.325987745991412e-6,0.0,0.0,5.335886013947576e-8,-2.0370655628503968e-10,0.0,0.0,-58639.0
t1126,38415.940173165596,19438.05983010798,-3.32673673552986e-6,0.0,0.0,5.3358860139499765e-8,-2.0370655627784954e-10,0.0,0.0,-57854.0
t1127,37133.830434671225,18742.169568603033,-3.3274215794453277e-6,0.0,0.0,5.3358860138947e-8,-2.0370655627626485e-10,0.0,0.0,-55876.0
t1128,37209.36258019835,14702.637423076507,-3.3280226061071905e-6,0.0,0.0,5.335886013714995e-8,-2.0370655628862143e-10,0.0,0.0,-51912.0
t1129,38578.62479470293,9404.375208750604,-3.506609705829847e-6,0.0,0.0,5.327983949928577e-8,-2.0594248586760415e-10,0.0,0.0,-47983.0
t1130,37404.971468519994,8071.028534909787,-3.4828605967956667e-6,0.0,0.0,5.329028555129576e-8,-2.0564667377993358e-10,0.0,0.0,-45476.0
t1131,36976.95598172825,7358.044021678116,-3.4594614696604553e-6,0.0,0.0,5.3300747855994044e-8,-2.0535047346452553e-10,0.0,0.0,-44335.0
t1132,37304.2619426296,6375.738060753692,-3.4364043924911102e-6,0.0,0.0,5.331122643906731e-8,-2.0505388449675186e-10,0.0,0.0,-43680.0
t1133,37459.19967559428,6417.800327766297,-3.413681654599651e-6,0.0,0.0,5.332172133457137e-8,-2.047569062321736e-10,0.0,0.0,-43877.0
t1134,37614.13740856454,7320.862594715521,-3.3332293394175435e-6,0.0,0.0,5.335886013237543e-8,-2.0370655633945343e-10,0.0,0.0,-44935.0
t1135,36934.34810531916,11593.651897961445,-3.333764730397905e-6,0.0,0.0,5.335886013622655e-8,-2.037065562769357e-10,0.0,0.0,-48528.0
t1136,36825.891691915975,17997.108311365257,-3.334388808062178e-6,0.0,0.0,5.335886013915803e-8,-2.03706556260629e-10,0.0,0.0,-54823.0
t1137,36924.664496023965,20125.33550725802,-3.3351525735991404e-6,0.0,0.0,5.335886014012967e-8,-2.0370655625319256e-10,0.0,0.0,-57050.0
