BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t36,16546.208928365308,2.9774427765996907e-6,-5196.208931394578,0.0,0.0,5.206777714809717e-8,-2.407597763060134e-10,0.0,0.0,-11350.0
t37,16507.179238258068,2.977447112698348e-6,-5175.179241287349,0.0,0.0,5.206777714455091e-8,-2.407597764054407e-10,0.0,0.0,-11332.0
t38,16407.44077485009,2.977447893617452e-6,-5149.440777879366,0.0,0.0,5.206777714435274e-8,-2.4075977639507467e-10,0.0,0.0,-11258.0
t39,16395.280414650406,2.9774450942194035e-6,-5172.2804176796835,0.0,0.0,5.206777714158182e-8,-2.4075977646809797e-10,0.0,0.0,-11223.0
t40,16483.49034600834,2.977438742461174e-6,-5090.490349037612,0.0,0.0,5.206777715632298e-8,-2.407597760756082e-10,0.0,0.0,-11393.0
t41,17165.982393329767,1.3456443281883495e-5,-4702.982406841074,0.0,0.0,5.5017324445313165e-8,-1.5771062213238925e-10,0.0,0.0,-12463.0
t42,18246.982158037972,6.937898280679627e-6,-4702.982165030724,0.0,0.0,5.501732447306104e-8,-1.5771062156005575e-10,0.0,0.0,-13544.0
t43,18127.980853303907,5.158119388836846e-6,-4702.980858516885,0.0,0.0,5.501732447135051e-8,-1.5771062158793297e-10,0.0,0.0,-13425.0
t44,17803.973819599014,4.225397364241241e-6,-4702.9738238792725,0.0,0.0,5.5017324458995044e-8,-1.5771062187156493e-10,0.0,0.0,-13101.0
t45,17273.936033221922,3.6078746724530667e-6,-4702.936036884657,0.0,0.0,5.5017324475128063e-8,-1.5771062134085392e-10,0.0,0.0,-12571.0
t46,16440.73350386998,3.1332696387603835e-6,-4702.733507058106,0.0,0.0,5.501732449349132e-8,-1.5771062068025114e-10,0.0,0.0,-11738.0
t47,15405.65050271584,2.6972618840689483e-6,-4701.650505467958,0.0,0.0,5.501732452036094e-8,-1.5771061971450889e-10,0.0,0.0,-10704.0
t48,14415.979441391622,9.186894664900962e-6,-4648.9794506383605,0.0,0.0,5.987617175998168e-8,-3.2527008485456916e-11,0.0,0.0,-9767.0
t49,12456.409637160063,5.1280298377587564e-6,-3309.409642347957,0.0,0.0,5.989783601897084e-8,-3.1998748550015157e-11,0.0,0.0,-9147.0
t50,11642.675237865147,4.010603734069276e-6,-2806.675241935642,0.0,0.0,5.991953999825556e-8,-3.1469773392301715e-11,0.0,0.0,-8836.0
t51,10401.208653703321,3.4137992040082458e-6,-1714.2086571770283,0.0,0.0,5.994128387391629e-8,-3.0940079915390015e-11,0.0,0.0,-8687.0
t52,9641.375464487663,3.002061864302064e-6,-936.3754675496565,0.0,0.0,5.996306773980465e-8,-3.04096670762843e-11,0.0,0.0,-8705.0
t53,9311.013208860999,2.6455292712505065e-6,-294.0132115664841,0.0,0.0,5.998489169873388e-8,-2.9878533657252076e-11,0.0,0.0,-9017.0
t54,9104.102114170031,840.8978868991456,-1.153288649995581e-6,0.0,0.0,8.368796685035315e-8,4.253684019942709e-10,0.0,0.0,-9945.0
